food_code,food_name,meal_type,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC113,Boiled rice (Uble chawal),veg,asc_manual,490.33,117.19,25.72,2.60,0.18,0.22,1.25,50.00,28.89,72.00,0.00,2.70,46.67,8.91,1.05,47.33,0.24,0.09,0.40,0.00,0.26,0.02,0.36,0.00,0.03,0.00,0.00,0.50,0.00,3.25,0.06,0.02,0.84,0.18,0.07,0.10,3.25,0.00,15.63,plate,1471.00,351.57,77.16,7.81,0.55,0.67,3.74,150.00,86.66,216.00,0.00,8.11,140.00,26.72,3.16,142.00,0.72,0.27,1.19,0.00,0.79,0.05,1.08,0.00,0.09,0.00,0.00,1.50,0.00,9.75,0.17,0.06,2.51,0.55,0.22,0.31,9.75,0.00,46.90
ASC115,Mixed vegetable pulao,veg,asc_manual,471.00,113.05,17.49,2.72,3.33,1.35,2.67,427.80,671.57,2058.53,0.00,19.61,44.58,17.60,187.92,133.82,0.60,0.11,0.49,0.00,0.43,0.03,0.43,0.00,1.60,1.95,0.00,9.58,0.00,18.39,0.08,0.02,0.73,0.27,0.12,1.40,18.39,5.96,1340.13,plate,2064.84,495.61,76.68,11.94,14.59,5.93,11.69,1875.46,2944.18,9024.61,0.00,85.96,195.46,77.18,823.84,586.66,2.64,0.46,2.16,0.01,1.87,0.12,1.91,0.00,7.00,8.56,0.00,42.00,0.00,80.63,0.33,0.10,3.20,1.17,0.51,6.14,80.63,26.15,5875.11
ASC126,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),veg,asc_manual,818.47,195.74,32.93,5.75,4.32,3.91,2.13,1595.74,1009.27,1392.21,3.12,101.52,133.75,24.28,213.29,211.78,0.59,0.13,1.83,0.01,0.35,0.06,0.74,7.93,1.06,1.58,0.00,7.91,0.00,13.06,0.10,0.15,1.14,0.46,0.14,1.45,13.06,2.36,1872.22,plate,1769.20,423.11,71.18,12.44,9.33,8.46,4.61,3449.35,2181.65,3009.39,6.74,219.44,289.11,52.48,461.05,457.78,1.28,0.28,3.96,0.01,0.76,0.13,1.60,17.15,2.29,3.42,0.00,17.10,0.00,28.24,0.22,0.31,2.47,0.99,0.30,3.14,28.24,5.10,4046.99
ASC144,Idli,veg,asc_manual,575.46,137.54,28.18,4.64,0.33,0.28,2.31,72.42,44.49,138.65,0.00,8.00,79.30,25.44,100.83,158.13,0.68,0.14,2.75,0.00,0.38,0.05,0.62,0.00,0.04,0.84,0.00,1.28,0.00,11.77,0.07,0.03,0.93,0.46,0.09,0.17,11.77,0.00,41.87,idli,144.23,34.47,7.06,1.16,0.08,0.07,0.58,18.15,11.15,34.75,0.00,2.01,19.88,6.38,25.27,39.63,0.17,0.04,0.69,0.00,0.10,0.01,0.16,0.00,0.01,0.21,0.00,0.32,0.00,2.95,0.02,0.01,0.23,0.11,0.02,0.04,2.95,0.00,10.49
ASC146,Masala dosa,veg,asc_manual,683.80,164.58,19.57,3.29,7.84,1.33,2.52,964.81,1609.59,4867.08,0.00,15.58,62.57,26.62,191.28,271.77,0.79,0.13,2.34,0.00,0.31,0.10,0.50,0.00,3.71,1.48,0.00,5.96,0.00,17.05,0.06,0.03,0.84,0.39,0.09,0.90,17.05,6.75,1008.09,dosa,1433.68,345.08,41.02,6.89,16.44,2.78,5.29,2022.87,3374.76,10204.56,0.00,32.67,131.19,55.82,401.04,569.81,1.65,0.27,4.90,0.01,0.66,0.20,1.04,0.00,7.77,3.10,0.00,12.49,0.00,35.76,0.13,0.06,1.76,0.83,0.20,1.89,35.76,14.14,2113.61
ASC153,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),veg,asc_manual,304.63,73.25,7.10,2.79,3.60,1.05,2.72,425.79,710.88,2148.68,0.00,14.33,46.19,21.16,149.47,183.95,0.99,0.12,5.86,0.00,0.34,0.04,0.50,0.00,1.48,1.84,0.00,4.86,0.00,32.43,0.06,0.02,0.36,0.33,0.05,0.97,32.43,5.45,803.01,bowl,849.39,204.25,19.80,7.78,10.05,2.92,7.59,1187.22,1982.16,5991.16,0.00,39.97,128.78,58.99,416.76,512.90,2.75,0.34,16.33,0.01,0.95,0.12,1.39,0.00,4.13,5.12,0.00,13.56,0.00,90.42,0.15,0.07,0.99,0.93,0.15,2.71,90.42,15.20,2239.02
ASC155,Mixed dal,veg,asc_manual,257.36,61.93,5.79,2.51,3.10,0.34,1.62,371.54,624.55,1869.15,0.00,11.00,42.41,19.72,141.36,144.27,0.78,0.10,4.24,0.00,0.27,0.11,0.36,0.00,1.36,0.59,0.00,2.16,0.00,13.55,0.04,0.02,0.24,0.23,0.03,0.19,13.55,0.37,107.33,bowl,766.51,184.44,17.25,7.46,9.24,1.01,4.81,1106.56,1860.10,5566.90,0.00,32.75,126.30,58.73,421.03,429.68,2.33,0.29,12.62,0.01,0.80,0.33,1.07,0.00,4.05,1.77,0.00,6.43,0.00,40.35,0.11,0.05,0.71,0.68,0.10,0.57,40.35,1.10,319.65
ASC161,Black channa curry/Bengal gram curry (Kale chane ki curry),veg,asc_manual,585.35,140.68,14.11,5.67,6.61,2.36,7.99,773.59,1286.60,3881.21,0.00,53.87,87.47,55.36,358.63,388.59,2.43,0.27,10.43,0.01,0.95,0.11,1.04,0.00,3.02,5.83,0.00,17.61,0.00,72.87,0.12,0.08,0.90,0.77,0.17,1.36,72.87,12.62,3014.28,bowl,701.96,168.70,16.93,6.79,7.93,2.82,9.58,927.69,1542.89,4654.35,0.00,64.61,104.90,66.38,430.07,465.99,2.92,0.33,12.50,0.01,1.14,0.14,1.24,0.00,3.63,7.00,0.00,21.12,0.00,87.38,0.15,0.10,1.08,0.92,0.20,1.63,87.38,15.13,3614.73
ASC162,Chickpeas curry (Safed channa curry),veg,asc_manual,680.17,163.43,19.98,6.10,6.84,4.78,4.73,811.11,1409.18,3979.53,0.00,30.61,83.72,35.09,357.99,334.30,1.82,0.23,0.11,0.00,1.31,0.06,0.88,0.00,2.80,5.35,0.00,19.33,0.00,153.92,0.15,0.07,0.76,0.57,0.21,1.13,153.92,13.62,2774.37,bowl,815.66,195.99,23.96,7.31,8.21,5.74,5.67,972.69,1689.89,4772.25,0.00,36.71,100.40,42.08,429.30,400.89,2.18,0.27,0.13,0.00,1.57,0.07,1.06,0.00,3.36,6.42,0.00,23.19,0.00,184.58,0.18,0.09,0.91,0.69,0.26,1.35,184.58,16.33,3327.03
ASC164,Soyabean curry,veg,asc_manual,679.92,163.28,6.76,10.43,10.19,2.66,7.34,1411.26,2269.00,6066.17,0.00,65.13,144.26,62.61,352.69,563.45,2.79,0.26,4.33,0.01,0.84,0.19,1.06,0.00,2.93,22.81,0.00,28.64,0.00,86.63,0.19,0.08,0.95,0.67,0.19,1.32,86.63,12.62,2834.92,bowl,815.36,195.80,8.11,12.50,12.22,3.19,8.80,1692.39,2720.99,7274.55,0.00,78.11,173.00,75.08,422.95,675.69,3.35,0.31,5.19,0.01,1.01,0.23,1.27,0.00,3.51,27.36,0.00,34.35,0.00,103.88,0.22,0.09,1.13,0.80,0.23,1.58,103.88,15.13,3399.63
ASC165,Kidney bean curry (Rajmah curry),veg,asc_manual,598.11,143.73,16.38,5.95,5.77,2.49,5.83,724.31,1085.92,3529.48,0.00,47.87,123.00,58.61,354.60,485.90,2.27,0.26,5.73,0.01,0.58,0.10,0.87,0.00,2.65,12.04,0.00,18.31,0.00,93.63,0.11,0.07,0.98,0.63,0.13,1.32,93.63,13.62,2790.14,bowl,717.26,172.36,19.64,7.14,6.92,2.98,6.99,868.59,1302.24,4232.55,0.00,57.41,147.50,70.28,425.24,582.69,2.72,0.31,6.87,0.01,0.70,0.13,1.04,0.00,3.18,14.44,0.00,21.96,0.00,112.28,0.13,0.08,1.18,0.76,0.16,1.58,112.28,16.33,3345.93
ASC167,Sambar,veg,asc_manual,404.50,96.92,10.57,3.35,4.38,3.31,3.52,1886.49,544.73,1179.96,0.00,30.24,59.32,32.16,159.54,298.29,1.24,0.20,2.36,0.01,0.28,0.11,0.47,0.00,1.04,3.31,0.00,34.16,0.00,26.51,0.08,0.05,0.53,0.26,0.08,0.78,26.51,7.91,1606.20,bowl,1040.57,249.32,27.19,8.62,11.27,8.51,9.06,4853.00,1401.31,3035.44,0.00,77.79,152.60,82.74,410.41,767.36,3.18,0.52,6.07,0.02,0.73,0.28,1.20,0.00,2.67,8.51,0.00,87.87,0.00,68.19,0.21,0.12,1.36,0.68,0.20,2.02,68.19,20.35,4131.96
ASC170,Sprouted moong dal chat,veg,asc_manual,135.79,32.47,6.01,1.35,0.32,1.57,1.35,66.64,34.80,122.83,0.00,16.54,30.22,17.45,87.07,218.92,0.88,0.05,0.32,0.00,0.12,0.00,0.23,0.00,0.06,2.67,0.00,7.24,0.00,16.81,0.05,0.02,0.51,0.29,0.08,1.33,16.81,15.12,1275.90,plate,348.30,83.30,15.40,3.46,0.82,4.02,3.45,170.93,89.25,315.07,0.00,42.41,77.50,44.76,223.34,561.53,2.25,0.13,0.81,0.01,0.31,0.01,0.60,0.00,0.16,6.86,0.00,18.57,0.00,43.12,0.13,0.06,1.30,0.75,0.20,3.41,43.12,38.78,3272.69
ASC171,Potato cauliflower (Aloo gobhi),veg,asc_manual,439.24,106.18,5.99,1.90,8.13,0.44,3.02,1022.19,1605.37,5068.74,0.00,22.87,44.46,25.22,254.76,378.78,1.07,0.07,0.50,0.01,0.36,0.04,0.31,0.00,3.83,1.05,0.00,13.78,0.00,31.83,0.04,0.05,0.55,0.48,0.12,1.88,31.83,34.77,321.87,bowl,771.97,186.61,10.53,3.33,14.28,0.77,5.30,1796.50,2821.43,8908.31,0.00,40.20,78.14,44.33,447.74,665.70,1.87,0.13,0.87,0.01,0.63,0.07,0.54,0.00,6.74,1.84,0.00,24.22,0.00,55.94,0.08,0.09,0.96,0.85,0.21,3.31,55.94,61.11,565.68
ASC173,Cabbage and peas (Pattagobhi aur matar),veg,asc_manual,265.74,63.88,6.24,3.24,2.64,0.97,3.99,343.88,529.15,1635.28,0.00,45.50,40.40,28.59,253.73,255.50,1.10,0.10,1.16,0.00,0.46,0.05,0.48,0.00,1.31,4.29,0.00,86.08,0.00,45.68,0.10,0.04,0.59,0.37,0.15,2.16,45.68,32.99,772.20,bowl,441.78,106.21,10.37,5.39,4.40,1.61,6.63,571.70,879.71,2718.66,0.00,75.64,67.17,47.53,421.83,424.76,1.83,0.17,1.94,0.01,0.77,0.09,0.79,0.00,2.17,7.14,0.00,143.11,0.00,75.95,0.17,0.07,0.99,0.61,0.25,3.60,75.95,54.84,1283.79
ASC190,Pea potato curry (Aloo matar),veg,asc_manual,419.09,100.92,9.74,3.48,5.13,1.86,3.61,631.82,1031.29,3196.23,0.00,21.10,40.52,27.53,154.83,274.26,1.02,0.13,0.80,0.00,0.35,0.03,0.56,0.00,2.55,7.12,0.00,24.68,0.00,31.77,0.13,0.02,0.85,0.42,0.13,2.44,31.77,25.24,1722.54,bowl,1162.27,279.89,27.01,9.66,14.22,5.17,10.01,1752.22,2860.08,8864.12,0.00,58.52,112.36,76.35,429.40,760.61,2.82,0.37,2.21,0.01,0.98,0.09,1.56,0.00,7.06,19.74,0.00,68.44,0.00,88.11,0.35,0.07,2.37,1.17,0.37,6.76,88.11,70.01,4777.11
ASC191,Pea paneer curry (Matar paneer),veg,asc_manual,560.98,134.83,9.29,6.61,7.75,3.89,3.30,2219.72,1804.05,3252.12,0.00,105.20,92.18,27.99,157.34,188.18,1.08,0.14,4.83,0.02,0.35,0.03,1.01,0.00,2.54,7.11,0.00,24.29,0.00,45.80,0.12,0.04,0.69,0.44,0.12,5.99,45.80,21.07,1720.01,bowl,1555.77,373.94,25.77,18.32,21.49,10.80,9.15,6155.94,5003.17,9019.12,0.00,291.76,255.65,77.63,436.36,521.88,2.99,0.38,13.40,0.06,0.97,0.09,2.79,0.00,7.04,19.71,0.00,67.38,0.00,127.01,0.33,0.11,1.91,1.22,0.34,16.60,127.01,58.44,4770.11
ASC192,Pea mushroom curry (Matar mushroom),veg,asc_manual,387.18,93.30,7.41,3.87,5.16,1.82,3.86,635.30,1030.03,3220.39,0.00,22.70,48.39,26.49,155.48,234.06,0.97,0.13,0.66,0.00,0.35,0.03,0.54,0.00,2.54,10.79,0.00,26.55,0.00,30.47,0.12,0.03,0.79,0.43,0.14,3.86,30.47,21.07,1685.04,bowl,1073.77,258.74,20.55,10.73,14.31,5.06,10.71,1761.88,2856.58,8931.12,0.00,62.95,134.21,73.47,431.20,649.11,2.68,0.37,1.83,0.01,0.98,0.09,1.51,0.00,7.04,29.91,0.00,73.63,0.00,84.49,0.33,0.08,2.19,1.19,0.38,10.70,84.49,58.44,4673.11
ASC193,Pea curry (Matar ki sabzi),veg,asc_manual,427.75,102.99,9.20,4.51,5.11,1.98,4.44,627.39,1033.98,3183.12,0.00,24.48,42.77,30.42,154.75,221.62,1.20,0.16,0.96,0.00,0.41,0.03,0.71,0.00,2.57,9.41,0.00,32.27,0.00,38.85,0.16,0.03,0.90,0.47,0.15,2.92,38.85,27.99,1916.89,bowl,1186.27,285.63,25.50,12.51,14.17,5.50,12.31,1739.94,2867.55,8827.74,0.00,67.88,118.63,84.37,429.17,614.61,3.33,0.44,2.65,0.01,1.14,0.09,1.97,0.00,7.14,26.10,0.00,89.49,0.00,107.74,0.46,0.08,2.49,1.32,0.42,8.10,107.74,77.64,5316.11
ASC194,Pea vadi curry,veg,asc_manual,423.44,101.95,8.90,4.64,5.08,1.92,4.28,622.96,1025.84,3141.94,0.00,23.62,44.59,30.16,149.51,216.10,1.20,0.16,0.92,0.00,0.41,0.03,0.71,0.00,2.52,9.08,0.00,31.14,0.00,38.02,0.16,0.03,0.87,0.46,0.15,2.82,38.02,27.02,1850.25,bowl,1216.67,292.93,25.57,13.32,14.59,5.53,12.31,1789.94,2947.55,9027.74,0.00,67.88,128.13,86.67,429.57,620.91,3.45,0.46,2.65,0.01,1.18,0.09,2.04,0.00,7.23,26.10,0.00,89.49,0.00,109.24,0.46,0.08,2.50,1.32,0.43,8.10,109.24,77.64,5316.31
ASC195,Paneer curry,veg,asc_manual,734.21,176.52,8.40,7.80,12.38,6.29,1.40,4126.76,2989.88,4484.07,0.00,189.06,139.48,21.83,216.09,142.72,0.81,0.09,8.68,0.04,0.27,0.04,1.18,0.00,3.38,3.37,0.00,11.45,0.00,47.23,0.03,0.05,0.33,0.33,0.08,8.81,47.23,9.90,1745.97,bowl,1485.52,357.15,16.99,15.78,25.06,12.72,2.83,8349.68,6049.42,9072.63,0.00,382.52,282.20,44.17,437.21,288.76,1.63,0.18,17.56,0.09,0.55,0.07,2.39,0.00,6.84,6.83,0.00,23.16,0.00,95.56,0.07,0.11,0.67,0.66,0.16,17.82,95.56,20.04,3532.61
ASC198,Pea kofta curry (Matar kofta curry),veg,asc_manual,2451.23,595.66,4.17,2.01,63.39,0.88,1.70,7648.10,13003.86,40099.15,0.21,13.84,21.50,12.23,83.07,88.85,0.56,0.07,0.43,0.00,0.17,0.01,0.29,0.54,31.22,3.34,0.00,15.41,0.00,16.54,0.07,0.02,0.35,0.19,0.06,1.19,16.54,9.57,682.24,bowl,19131.83,4649.16,32.53,15.69,494.78,6.89,13.30,59693.38,101495.12,312973.84,1.65,108.04,167.83,95.49,648.34,693.46,4.37,0.52,3.37,0.01,1.35,0.09,2.25,4.20,243.65,26.04,0.00,120.28,0.00,129.13,0.51,0.13,2.72,1.51,0.47,9.31,129.13,74.66,5324.85
ASC199,Spinach kofta curry (Palak kofta curry),veg,asc_manual,2353.02,571.78,3.56,1.09,61.49,0.82,0.92,7427.78,12579.95,38832.86,0.20,29.31,17.90,20.78,104.51,158.65,0.83,0.06,0.75,0.01,0.29,0.01,0.17,0.52,30.40,0.88,0.00,67.09,0.00,31.12,0.05,0.03,0.21,0.09,0.05,1.07,31.12,7.94,2201.10,bowl,18969.34,4609.49,28.74,8.75,495.73,6.60,7.45,59880.52,101415.77,313058.91,1.65,236.33,144.28,167.55,842.51,1279.02,6.69,0.47,6.04,0.05,2.35,0.08,1.40,4.20,245.05,7.12,0.00,540.88,0.00,250.89,0.38,0.25,1.67,0.70,0.40,8.63,250.89,64.05,17744.65
ASC200,Paneer kofta curry,veg,asc_manual,2761.29,670.91,3.27,2.39,72.06,1.98,0.40,9450.37,14918.83,44643.90,0.24,59.49,44.26,7.07,121.72,48.29,0.34,0.03,2.55,0.01,0.08,0.01,0.36,0.60,34.68,0.97,0.00,7.57,0.00,13.94,0.01,0.02,0.10,0.10,0.02,2.60,13.94,2.43,504.73,bowl,19356.68,4703.08,22.92,16.72,505.16,13.89,2.81,66247.12,104580.99,312953.75,1.65,417.03,310.26,49.57,853.23,338.51,2.42,0.24,17.88,0.09,0.59,0.07,2.54,4.20,243.10,6.77,0.00,53.05,0.00,97.75,0.08,0.15,0.71,0.73,0.17,18.19,97.75,17.06,3538.15
ASC202,Raw banana kofta curry (Kela kofta curry),veg,asc_manual,2580.81,627.27,3.40,0.62,67.98,2.30,0.59,8205.31,13944.75,43014.20,0.23,9.23,12.07,6.84,88.40,71.35,0.28,0.03,0.10,0.00,0.11,0.01,0.09,0.58,33.46,0.92,0.00,7.41,0.00,6.42,0.02,0.02,0.17,0.09,0.05,0.61,6.42,3.25,472.07,bowl,18766.88,4561.33,24.76,4.52,494.33,16.74,4.30,59666.52,101402.03,312786.41,1.65,67.09,87.75,49.72,642.79,518.81,2.06,0.24,0.72,0.01,0.81,0.07,0.64,4.20,243.32,6.73,0.00,53.86,0.00,46.68,0.17,0.11,1.22,0.65,0.37,4.44,46.68,23.63,3432.75
ASC203,Cauliflower kofta curry (Phoolgobhi kofta curry),veg,asc_manual,2637.44,641.10,2.62,1.04,69.62,0.83,1.00,8405.75,14273.88,44035.94,0.23,12.26,18.15,7.82,93.65,82.16,0.40,0.03,0.20,0.00,0.13,0.01,0.13,0.59,34.23,1.08,0.00,9.19,0.00,12.59,0.02,0.02,0.16,0.14,0.04,0.77,12.59,7.59,486.17,bowl,18756.70,4559.31,18.61,7.38,495.14,5.90,7.09,59779.17,101511.55,313170.41,1.65,87.18,129.05,55.61,666.01,584.29,2.84,0.24,1.43,0.01,0.90,0.08,0.91,4.20,243.46,7.72,0.00,65.37,0.00,89.51,0.16,0.15,1.13,1.01,0.31,5.45,89.51,53.98,3457.49
ASC204,Cabbage kofta curry (Pattagobhi kofta curry),veg,asc_manual,2632.23,639.81,2.87,0.98,69.40,0.89,0.90,8374.77,14234.40,43899.34,0.23,15.46,16.56,7.32,92.85,72.21,0.34,0.03,0.28,0.00,0.12,0.01,0.11,0.59,34.14,0.97,0.00,19.54,0.00,12.68,0.02,0.02,0.16,0.10,0.04,0.65,12.68,6.11,508.21,bowl,18772.28,4562.95,20.50,6.96,494.94,6.35,6.43,59726.33,101515.47,313076.94,1.65,110.23,118.08,52.23,662.20,514.97,2.42,0.23,2.03,0.01,0.89,0.08,0.81,4.20,243.48,6.88,0.00,139.37,0.00,90.40,0.15,0.14,1.11,0.72,0.31,4.66,90.40,43.56,3624.38
ASC206,Spinach paneer kofta curry (Palak paneer kofta curry),veg,asc_manual,2493.70,606.03,2.94,1.43,65.41,1.16,0.75,8131.10,13438.53,41051.05,0.22,37.71,25.35,16.59,99.37,125.10,0.68,0.05,1.26,0.01,0.23,0.01,0.23,0.55,32.05,0.91,0.00,49.58,0.00,25.96,0.03,0.03,0.16,0.09,0.04,1.55,25.96,6.21,1704.15,bowl,19014.46,4620.94,22.44,10.88,498.74,8.85,5.69,61999.62,102468.82,313014.25,1.65,287.52,193.31,126.49,757.71,953.92,5.17,0.38,9.59,0.06,1.73,0.08,1.73,4.20,244.39,6.97,0.00,378.05,0.00,197.93,0.26,0.21,1.25,0.71,0.32,11.81,197.93,47.34,12994.15
ASC208,Baked vegetables,veg,asc_manual,371.43,88.99,8.44,3.67,4.44,2.56,2.34,2685.07,1146.21,231.80,8.27,80.20,90.12,19.93,124.70,221.88,0.62,0.07,0.91,0.00,0.16,0.01,0.52,32.53,0.22,3.50,0.00,13.66,0.00,25.52,0.08,0.07,0.48,0.40,0.12,2.58,25.52,15.55,1693.73,bowl,1123.58,269.19,25.52,11.10,13.42,7.75,7.07,8122.33,3467.28,701.20,25.00,242.60,272.61,60.28,377.22,671.17,1.88,0.23,2.76,0.01,0.50,0.03,1.58,98.42,0.67,10.59,0.00,41.32,0.00,77.19,0.23,0.21,1.45,1.20,0.36,7.80,77.19,47.05,5123.54
ASC210,Baked vegetables with spinach ,veg,asc_manual,324.45,77.79,6.93,3.22,4.03,2.09,2.33,2163.45,986.69,546.36,6.55,78.63,74.08,35.62,122.85,314.32,1.16,0.10,1.16,0.01,0.39,0.01,0.50,26.67,0.70,2.61,0.00,86.85,0.00,52.72,0.09,0.08,0.43,0.35,0.12,2.93,52.72,18.64,3474.59,bowl,1374.13,329.47,29.35,13.63,17.06,8.84,9.85,9162.70,4178.87,2313.94,27.75,333.00,313.76,150.85,520.29,1331.22,4.91,0.42,4.93,0.04,1.67,0.05,2.10,112.97,2.98,11.07,0.00,367.81,0.00,223.29,0.40,0.32,1.83,1.47,0.53,12.42,223.29,78.95,14715.69
ASC211,Baked potato with skin ,veg,asc_manual,563.80,135.77,11.11,3.43,8.50,1.66,1.20,5243.81,2214.89,380.72,21.72,90.06,121.89,21.18,354.50,392.71,0.50,0.07,1.18,0.00,0.12,0.02,0.51,86.95,0.26,0.20,0.00,2.52,0.00,12.75,0.05,0.06,0.69,0.37,0.08,1.80,12.75,15.15,225.93,bowl,441.88,106.41,8.71,2.69,6.66,1.30,0.94,4109.84,1735.92,298.39,17.02,70.58,95.53,16.60,277.84,307.79,0.39,0.06,0.92,0.00,0.10,0.01,0.40,68.15,0.20,0.16,0.00,1.98,0.00,9.99,0.04,0.04,0.54,0.29,0.06,1.41,9.99,11.88,177.07
